420151, г. Лесной, ул. Вишневая, 32;1
125061, г. Лесной, ул. Подгорная, 8;2
630370, г. Лесной, ул. Шоссейная, 24;3
400562, г. Лесной, ул. Зеленая, 32;4
614510, г. Лесной, ул. Маяковского, 47;5
410542, г. Лесной, ул. Светлая, 46;6
620839, г. Лесной, ул. Цветочная, 8;7
443890, г. Лесной, ул. Коммунистическая, 1;8
603379, г. Лесной, ул. Спортивная, 46;9
603721, г. Лесной, ул. Гоголя, 41;10
410172, г. Лесной, ул. Северная, 13;11
614611, г. Лесной, ул. Молодежная, 50;12
454311, г.Лесной, ул. Новая, 19;13
660007, г.Лесной, ул. Октябрьская, 19;14
603036, г. Лесной, ул. Садовая, 4;15
394060, г.Лесной, ул. Фрунзе, 43;16
410661, г. Лесной, ул. Школьная, 50;17
625590, г. Лесной, ул. Коммунистическая, 20;18
625683, г. Лесной, ул. 8 Марта;19
450983, г.Лесной, ул. Комсомольская, 26;20
394782, г. Лесной, ул. Чехова, 3;21
603002, г. Лесной, ул. Дзержинского, 28;22
450558, г. Лесной, ул. Набережная, 30;23
344288, г. Лесной, ул. Чехова, 1;24
614164, г.Лесной,  ул. Степная, 30;25
394242, г. Лесной, ул. Коммунистическая, 43;26
660540, г. Лесной, ул. Солнечная, 25;27
125837, г. Лесной, ул. Шоссейная, 40;28
125703, г. Лесной, ул. Партизанская, 49;29
625283, г. Лесной, ул. Победы, 46;30
614753, г. Лесной, ул. Полевая, 35;31
426030, г. Лесной, ул. Маяковского, 44;32
450375, г. Лесной ул. Клубная, 44;33
625560, г. Лесной, ул. Некрасова, 12;34
630201, г. Лесной, ул. Комсомольская, 17;35
190949, г. Лесной, ул. Мичурина, 26;36
